# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-1.5 0.1 100.0 -1.2 4.1219e+41 3.1614e+42 4.2104e+42 1.2673e+43 3.9288e+41 7.0084e+39 9.3791e+42 2.0682e+40 2.3369e+41 1.6371e+41 2.4934e+41 7.8329e+42 4.1326e+42 5.6827e+42 7.886e+41 1.9378e+42 3.5857e+41 2.1235e+41 2.6461e+42 1.7327e+42
-1.5 0.1 100.0 -1.4 3.098e+41 2.5771e+42 3.873e+42 1.1658e+43 1.9206e+41 3.8806e+39 7.5027e+42 1.1452e+40 1.2841e+41 9.0409e+40 1.868e+41 6.8079e+42 3.5798e+42 4.0876e+42 6.1233e+41 1.5036e+42 3.3782e+41 2.002e+41 2.3273e+42 1.524e+42
-1.5 0.1 100.0 -1.7 2.0619e+41 1.8491e+42 2.9377e+42 8.8425e+42 5.4456e+40 1.7174e+39 5.2879e+42 5.0681e+39 4.7375e+40 3.3834e+40 1.0759e+41 4.3935e+42 2.297e+42 2.1779e+42 3.5226e+41 8.6406e+41 2.5949e+41 1.5406e+41 1.5939e+42 1.0438e+42
-1.5 0.1 100.0 -2.0 1.4314e+41 1.3152e+42 2.029e+42 6.1073e+42 1.3611e+40 9.2945e+38 3.7361e+42 2.7428e+39 1.7929e+40 1.3135e+40 5.6745e+40 2.4206e+42 1.2589e+42 1.0671e+42 1.8697e+41 4.5826e+41 1.8798e+41 1.1192e+41 1.0146e+42 6.6449e+41
-1.5 0.1 1000.0 -1.2 5.3854e+41 3.4966e+42 4.1996e+42 1.2641e+43 5.3239e+41 1.4662e+40 1.0476e+43 4.3267e+40 2.9088e+41 2.2103e+41 1.49e+41 8.1781e+42 4.2031e+42 5.7624e+42 6.4147e+41 1.5781e+42 4.0505e+41 2.4715e+41 3.5783e+42 2.3857e+42
-1.5 0.1 1000.0 -1.4 4.4023e+41 2.8799e+42 3.8998e+42 1.1738e+43 2.8394e+41 9.1422e+39 8.4614e+42 2.6979e+40 1.6908e+41 1.3119e+41 8.7769e+40 6.3957e+42 3.2812e+42 4.1443e+42 5.0418e+41 1.2401e+42 4.2984e+41 2.6249e+41 3.2199e+42 2.1481e+42
-1.5 0.1 1000.0 -1.7 3.5445e+41 2.0719e+42 2.9255e+42 8.8057e+42 1.0067e+41 4.6185e+39 5.9737e+42 1.3629e+40 7.2042e+40 5.9518e+40 2.9467e+40 3.1411e+42 1.6087e+42 2.2049e+42 2.8562e+41 7.0257e+41 4.0307e+41 2.4648e+41 2.2401e+42 1.496e+42
-1.5 0.1 1000.0 -2.0 3.1203e+41 1.457e+42 1.9475e+42 5.8619e+42 3.54e+40 2.7788e+39 4.1678e+42 8.2003e+39 3.3808e+40 3.1109e+40 7.1827e+39 1.1304e+42 5.8214e+41 1.0767e+42 1.4422e+41 3.5487e+41 3.3472e+41 2.05e+41 1.334e+42 8.9185e+41
-1.5 0.1 10000.0 -1.2 1.0903e+42 3.7122e+42 2.7431e+42 8.2567e+42 1.132e+42 4.0043e+40 1.1262e+43 1.1817e+41 4.8199e+41 5.0379e+41 2.1678e+39 8.2454e+41 4.2033e+41 5.2422e+42 1.8133e+41 4.4681e+41 4.7586e+41 3.8612e+41 1.9336e+42 1.5683e+42
-1.5 0.1 10000.0 -1.4 9.6378e+41 3.0828e+42 2.4388e+42 7.3409e+42 6.4692e+41 2.7915e+40 9.1909e+42 8.2376e+40 2.8822e+41 3.1003e+41 9.6633e+38 5.0044e+41 2.5761e+41 3.8233e+42 1.4466e+41 3.5646e+41 4.4995e+41 3.6641e+41 1.565e+42 1.2731e+42
