## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      8.455e+05        3.867e+07        2.154e+07           6.482e+07            3.343e+03        1.103e+08       9.864e+03           2.257e+04           1.742e+04           9.158e+04        5.302e+07         2.605e+07         1.259e+06          3.409e+06           8.358e+06           9.820e+05             1.566e+06            2.600e+07 
   -1.0           0.1       100           1.40               300      1.038e+06        5.636e+07        3.170e+07           9.543e+07            4.214e+03        1.614e+08       1.244e+04           3.526e+04           2.720e+04           1.541e+05        8.899e+07         4.366e+07         2.794e+06          5.160e+06           1.266e+07           1.250e+06             1.993e+06            3.369e+07 
   -1.0           0.1      1000           1.40               100      5.382e+05        3.891e+07        2.125e+07           6.396e+07            2.479e+03        1.106e+08       7.317e+03           1.434e+04           1.675e+04           9.211e+04        5.197e+07         2.550e+07         1.264e+06          3.286e+06           8.056e+06           1.203e+06             1.938e+06            2.424e+07 
   -1.0           0.1      1000           1.40               300      7.279e+05        5.667e+07        3.123e+07           9.399e+07            3.453e+03        1.617e+08       1.019e+04           2.257e+04           2.634e+04           1.550e+05        8.684e+07         4.256e+07         2.800e+06          4.967e+06           1.218e+07           1.562e+06             2.516e+06            3.131e+07 
   -1.0           0.1       100           1.00               100      9.085e+05        3.875e+07        2.348e+07           7.066e+07            3.411e+03        1.105e+08       1.007e+04           2.428e+04           1.874e+04           9.235e+04        4.200e+07         2.093e+07         1.264e+06          3.837e+06           9.403e+06           1.077e+06             1.717e+06            2.062e+07 
   -1.0           0.1       100           1.00               300      1.116e+06        5.650e+07        3.457e+07           1.041e+08            4.302e+03        1.618e+08       1.270e+04           3.794e+04           2.927e+04           1.551e+05        7.048e+07         3.510e+07         2.804e+06          5.813e+06           1.426e+07           1.371e+06             2.185e+06            2.674e+07 
   -1.0           0.1      1000           1.00               100      5.792e+05        3.898e+07        2.315e+07           6.969e+07            2.533e+03        1.108e+08       7.474e+03           1.543e+04           1.802e+04           9.288e+04        4.109e+07         2.046e+07         1.269e+06          3.693e+06           9.052e+06           1.319e+06             2.125e+06            1.920e+07 
   -1.0           0.1      1000           1.00               300      7.836e+05        5.680e+07        3.403e+07           1.024e+08            3.528e+03        1.622e+08       1.041e+04           2.428e+04           2.834e+04           1.559e+05        6.868e+07         3.417e+07         2.810e+06          5.588e+06           1.370e+07           1.712e+06             2.757e+06            2.482e+07 
   -1.0           0.1       100           0.72               100      9.588e+05        3.882e+07        2.509e+07           7.552e+07            3.464e+03        1.108e+08       1.022e+04           2.566e+04           1.981e+04           9.291e+04        3.286e+07         1.669e+07         1.269e+06          4.215e+06           1.033e+07           1.157e+06             1.844e+06            1.612e+07 
   -1.0           0.1       100           0.72               300      1.179e+06        5.663e+07        3.696e+07           1.112e+08            4.372e+03        1.623e+08       1.290e+04           4.010e+04           3.093e+04           1.558e+05        5.516e+07         2.800e+07         2.813e+06          6.390e+06           1.566e+07           1.473e+06             2.347e+06            2.092e+07 
   -1.0           0.1      1000           0.72               100      6.120e+05        3.904e+07        2.473e+07           7.444e+07            2.574e+03        1.111e+08       7.596e+03           1.630e+04           1.904e+04           9.344e+04        3.212e+07         1.629e+07         1.273e+06          4.054e+06           9.931e+06           1.417e+06             2.283e+06            1.499e+07 
   -1.0           0.1      1000           0.72               300      8.284e+05        5.692e+07        3.636e+07           1.095e+08            3.587e+03        1.626e+08       1.059e+04           2.565e+04           2.994e+04           1.566e+05        5.367e+07         2.722e+07         2.818e+06          6.136e+06           1.504e+07           1.838e+06             2.960e+06            1.939e+07 
   -1.0           0.1       100           0.52               100      9.987e+05        3.888e+07        2.641e+07           7.949e+07            3.505e+03        1.110e+08       1.034e+04           2.676e+04           2.065e+04           9.333e+04        2.548e+07         1.321e+07         1.272e+06          4.541e+06           1.112e+07           1.222e+06             1.948e+06            1.243e+07 
   -1.0           0.1       100           0.52               300      1.229e+06        5.674e+07        3.890e+07           1.171e+08            4.426e+03        1.626e+08       1.306e+04           4.181e+04           3.225e+04           1.563e+05        4.277e+07         2.216e+07         2.820e+06          6.885e+06           1.687e+07           1.556e+06             2.479e+06            1.613e+07 
   -1.0           0.1      1000           0.52               100      6.383e+05        3.910e+07        2.602e+07           7.832e+07            2.607e+03        1.112e+08       7.692e+03           1.699e+04           1.985e+04           9.385e+04        2.487e+07         1.288e+07         1.277e+06          4.362e+06           1.068e+07           1.497e+06             2.413e+06            1.154e+07 
   -1.0           0.1      1000           0.52               300      8.641e+05        5.702e+07        3.826e+07           1.152e+08            3.633e+03        1.629e+08       1.072e+04           2.674e+04           3.121e+04           1.571e+05        4.157e+07         2.152e+07         2.825e+06          6.606e+06           1.619e+07           1.941e+06             3.127e+06            1.493e+07 
   -1.0           0.1       100           0.38               100      1.029e+06        3.893e+07        2.743e+07           8.257e+07            3.537e+03        1.111e+08       1.044e+04           2.759e+04           2.130e+04           9.362e+04        1.982e+07         1.045e+07         1.276e+06          4.805e+06           1.176e+07           1.273e+06             2.030e+06            9.536e+06 
