# dN/dz in units deg-2
# Table 3 from Pozzetti+2018 (arXiv:1603.01453), Models 1 (M1), 3 (M2) and 3 (M3)
# Fluxes (F) in units of 1e-16 erg cm^-2 s^-1
# zmin zmax 0.5*F_M1 F_M1 2*F_M1 3*F_M1 5*F_M1 0.5*F_M2 F_M2 2*F_M2 3*F_M2 5*F_M2 0.5*F_M3 F_M3 2*F_M3 3*F_M3 5*F_M3
0.0 0.1 2924   2192 1616 1339 1044  4451 3245 2329 1901 1455 -999. -999. -999. -999. -999.
0.1 0.2 10252  7324 5078 4021 2909 13491 9406 6369 4976 3543 -999. -999. -999. -999. -999.
0.2 0.3 17381 11892 7720 5768 3773 20782 13916 8868 6572 4267 -999. -999. -999. -999. -999.
0.3 0.4 23608 15445 9287 6511 3837 26276 16921 10097 7077 4190 -999. -999. -999. -999. -999.
0.4 0.5 28730 17898 9946 6546 3462 30255 18731 10475 6964 3771 -999. -999. -999. -999. -999.
0.5 0.6 32705 19372 9964 6155 2896 32997 19659 10344 6543 3243 -999. -999. -999. -999. -999.
0.6 0.7 35612 20068 9570 5536 2297 34753 19966 9926 5987 2717 24255 12169 4739 2273 725
0.7 0.8 37594 20185 8930 4825 1757 35731 19840 9353 5388 2242 25586 12404 4517 2061 621
0.8 0.9 38813 19890 8164 4112 1310 36092 19411 8701 4794 1833 26232 12265 4181 1822 524
0.9 1.0 39423 19313 7353 3449 961 35961 18764 8015 4227 1487 26290 11831 3779 1579 437
1.0 1.1 39561 18553 6552 2861 698 35430 17959 7319 3697 1198 25866 11182 3350 1347 362
1.1 1.2 39340 17683 5794 2357 504 34566 17033 6627 3206 958 25064 10389 2923 1136 297
1.2 1.3 38851 16756 5097 1933 362 33424 16015 5946 2755 758 23978 9514 2518 949 243
1.3 1.4 36560 15144 4281 1515 250 32045 14926 5284 2340 591 22691 8606 2148 788 198
1.4 1.5 32911 13107 3447 1140 165 30465 13783 4642 1962 454 21272 7703 1817 652 162
1.5 1.6 29635 11357 2782 861 110 28714 12601 4026 1619 341 19779 6832 1528 537 132
1.6 1.7 26704 9856 2253 654 74 26823 11396 3440 1311 249 18259 6013 1279 442 107
1.7 1.8 24090 8572 1831 499 50 24820 10182 2889 1038 177 16749 5256 1067 363 87
1.8 1.9 21760 7471 1493 382 34 22734 8976 2378 801 121 15277 4570 889 299 71
1.9 2.0 19686 6527 1223 295 23 20594 7794 1912 599 79 13864 3954 740 246 58
2.0 2.1 17838 5716 1006 228 16 18430 6652 1496 432 49 12524 3408 616 203 48
2.1 2.2 16192 5019 830 178 11 16275 5568 1134 298 28 11268 2928 512 168 39
2.2 2.3 14724 4419 689 140 7.8 14169 4562 830 196 15 10101 2509 427 139 33
2.3 2.4 13412 3900 573 110 5.5 12246 3691 594 125 7.7 9025 2147 356 115 27
2.4 2.5 12240 3452 479 87 3.9 10556 2969 420 78 3.8 8040 1835 298 96 22
