# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-2.5 0.1 100.0 -1.2 4.7946e+42 2.9002e+42 8.1136e+42 2.4422e+43 1.0491e+42 7.9137e+40 8.5788e+42 2.3353e+41 5.9806e+41 4.351e+41 1.764e+41 5.4936e+42 2.8298e+42 5.3832e+42 4.6323e+41 1.1394e+42 7.758e+41 4.5936e+41 5.26e+42 3.4452e+42
-2.5 0.1 100.0 -1.4 3.9569e+42 2.4683e+42 7.16e+42 2.1552e+43 5.4543e+41 5.8512e+40 7.2096e+42 1.7267e+41 4.2043e+41 3.1055e+41 1.2459e+41 3.9188e+42 2.0237e+42 3.953e+42 3.4089e+41 8.3821e+41 6.6904e+41 3.9634e+41 3.9932e+42 2.6156e+42
-2.5 0.1 100.0 -1.7 2.7315e+42 1.8223e+42 4.9904e+42 1.5021e+43 1.8399e+41 3.7527e+40 5.2825e+42 1.1074e+41 2.4578e+41 1.8524e+41 6.778e+40 1.9498e+42 1.0126e+42 2.1533e+42 1.7448e+41 4.2881e+41 4.3367e+41 2.5725e+41 2.1791e+42 1.4274e+42
-2.5 0.1 100.0 -2.0 1.8114e+42 1.2964e+42 3.1254e+42 9.4074e+42 6.6688e+40 2.4565e+40 3.7572e+42 7.249e+40 1.4802e+41 1.131e+41 3.7221e+40 8.6357e+41 4.5357e+41 1.0693e+42 7.9587e+40 1.9551e+41 2.4921e+41 1.4823e+41 1.0717e+42 7.0205e+41
-2.5 0.1 1000.0 -1.2 4.3957e+42 2.9852e+42 8.3947e+42 2.5268e+43 1.1608e+42 9.2613e+40 8.807e+42 2.733e+41 5.5107e+41 4.9035e+41 1.3488e+41 5.6955e+42 2.9246e+42 5.3989e+42 4.8027e+41 1.1814e+42 8.1531e+41 4.9965e+41 5.4785e+42 3.6671e+42
-2.5 0.1 1000.0 -1.4 3.6519e+42 2.5439e+42 7.4632e+42 2.2464e+43 6.1405e+41 6.792e+40 7.4086e+42 2.0043e+41 3.652e+41 3.4679e+41 8.2388e+40 3.9927e+42 2.0528e+42 3.9624e+42 3.5769e+41 8.7958e+41 7.2122e+41 4.4251e+41 4.2294e+42 2.8325e+42
-2.5 0.1 1000.0 -1.7 2.5914e+42 1.8842e+42 5.2906e+42 1.5925e+43 2.179e+41 4.3085e+40 5.4429e+42 1.2714e+41 2e+41 2.0903e+41 3.3208e+40 1.8174e+42 9.3759e+41 2.1561e+42 1.8743e+41 4.6077e+41 5.0021e+41 3.076e+41 2.3964e+42 1.6063e+42
-2.5 0.1 1000.0 -2.0 1.8101e+42 1.3454e+42 3.3687e+42 1.014e+43 8.3814e+40 2.8847e+40 3.8829e+42 8.5126e+40 1.1864e+41 1.3325e+41 1.273e+40 6.3114e+41 3.2999e+41 1.0692e+42 8.6804e+40 2.1337e+41 3.1627e+41 1.9505e+41 1.2177e+42 8.1703e+41
-2.5 0.1 10000.0 -1.2 3.7864e+42 3.238e+42 7.8874e+42 2.3741e+43 1.8755e+42 1.7227e+41 9.6076e+42 5.0837e+41 5.3683e+41 7.0607e+41 6.8443e+39 1.375e+42 7.0082e+41 5.1054e+42 3.3376e+41 8.2186e+41 9.9008e+41 8.1926e+41 4.0834e+42 3.3566e+42
-2.5 0.1 10000.0 -1.4 3.3092e+42 2.7565e+42 6.7489e+42 2.0314e+43 1.1051e+42 1.3357e+41 8.078e+42 3.9418e+41 3.5321e+41 4.9214e+41 3.2323e+39 7.5703e+41 3.8905e+41 3.7569e+42 2.4097e+41 5.934e+41 8.4883e+41 7.0635e+41 3.0532e+42 2.5202e+42
