## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      2.335e+06        3.104e+07        3.400e+07           1.023e+08            1.066e+04        8.809e+07       3.147e+04           4.459e+04           3.443e+04           1.376e+05        4.261e+07         2.028e+07         8.783e+05          3.770e+06           9.118e+06           1.488e+06             2.376e+06            3.419e+07 
   -1.0           0.1       100           1.40               300      2.865e+06        5.196e+07        5.966e+07           1.796e+08            1.336e+04        1.479e+08       3.943e+04           7.870e+04           6.073e+04           3.015e+05        9.028e+07         4.268e+07         2.461e+06          7.049e+06           1.707e+07           2.118e+06             3.378e+06            5.286e+07 
   -1.0           0.1      1000           1.40               100      1.509e+06        3.131e+07        3.387e+07           1.019e+08            7.865e+03        8.856e+07       2.321e+04           2.841e+04           3.330e+04           1.379e+05        4.234e+07         2.015e+07         8.819e+05          3.686e+06           8.914e+06           1.764e+06             2.848e+06            3.258e+07 
   -1.0           0.1      1000           1.40               300      2.022e+06        5.241e+07        5.927e+07           1.784e+08            1.085e+04        1.487e+08       3.201e+04           5.041e+04           5.904e+04           3.024e+05        8.932e+07         4.221e+07         2.466e+06          6.877e+06           1.665e+07           2.573e+06             4.150e+06            5.016e+07 
   -1.0           0.1       100           1.00               100      2.496e+06        3.106e+07        3.710e+07           1.117e+08            1.090e+04        8.816e+07       3.215e+04           4.789e+04           3.698e+04           1.388e+05        3.363e+07         1.612e+07         8.826e+05          4.263e+06           1.029e+07           1.625e+06             2.594e+06            2.699e+07 
   -1.0           0.1       100           1.00               300      3.066e+06        5.202e+07        6.524e+07           1.964e+08            1.367e+04        1.482e+08       4.034e+04           8.460e+04           6.528e+04           3.029e+05        7.124e+07         3.389e+07         2.470e+06          8.007e+06           1.936e+07           2.319e+06             3.699e+06            4.195e+07 
   -1.0           0.1      1000           1.00               100      1.615e+06        3.133e+07        3.694e+07           1.112e+08            8.044e+03        8.863e+07       2.374e+04           3.052e+04           3.577e+04           1.391e+05        3.339e+07         1.600e+07         8.862e+05          4.164e+06           1.005e+07           1.931e+06             3.117e+06            2.570e+07 
   -1.0           0.1      1000           1.00               300      2.167e+06        5.247e+07        6.477e+07           1.950e+08            1.111e+04        1.489e+08       3.278e+04           5.419e+04           6.345e+04           3.038e+05        7.040e+07         3.348e+07         2.475e+06          7.804e+06           1.887e+07           2.822e+06             4.552e+06            3.976e+07 
   -1.0           0.1       100           0.72               100      2.622e+06        3.107e+07        3.970e+07           1.195e+08            1.107e+04        8.823e+07       3.268e+04           5.054e+04           3.902e+04           1.397e+05        2.612e+07         1.268e+07         8.864e+05          4.708e+06           1.136e+07           1.739e+06             2.777e+06            2.105e+07 
   -1.0           0.1       100           0.72               300      3.226e+06        5.208e+07        6.994e+07           2.105e+08            1.391e+04        1.484e+08       4.103e+04           8.934e+04           6.894e+04           3.040e+05        5.530e+07         2.661e+07         2.478e+06          8.879e+06           2.145e+07           2.489e+06             3.969e+06            3.287e+07 
   -1.0           0.1      1000           0.72               100      1.700e+06        3.134e+07        3.951e+07           1.189e+08            8.184e+03        8.869e+07       2.415e+04           3.221e+04           3.774e+04           1.400e+05        2.591e+07         1.257e+07         8.899e+05          4.593e+06           1.108e+07           2.072e+06             3.344e+06            2.002e+07 
   -1.0           0.1      1000           0.72               300      2.284e+06        5.252e+07        6.941e+07           2.089e+08            1.131e+04        1.491e+08       3.339e+04           5.722e+04           6.700e+04           3.048e+05        5.459e+07         2.626e+07         2.483e+06          8.644e+06           2.088e+07           3.034e+06             4.893e+06            3.111e+07 
   -1.0           0.1       100           0.52               100      2.722e+06        3.109e+07        4.185e+07           1.260e+08            1.121e+04        8.829e+07       3.308e+04           5.265e+04           4.065e+04           1.404e+05        2.000e+07         9.876e+06         8.896e+05          5.099e+06           1.229e+07           1.835e+06             2.929e+06            1.621e+07 
   -1.0           0.1       100           0.52               300      3.353e+06        5.213e+07        7.384e+07           2.223e+08            1.409e+04        1.486e+08       4.158e+04           9.311e+04           7.186e+04           3.047e+05        4.229e+07         2.070e+07         2.485e+06          9.652e+06           2.329e+07           2.631e+06             4.195e+06            2.540e+07 
   -1.0           0.1      1000           0.52               100      1.766e+06        3.136e+07        4.163e+07           1.253e+08            8.292e+03        8.875e+07       2.447e+04           3.355e+04           3.931e+04           1.406e+05        1.982e+07         9.782e+06         8.930e+05          4.971e+06           1.198e+07           2.190e+06             3.534e+06            1.540e+07 
   -1.0           0.1      1000           0.52               300      2.376e+06        5.257e+07        7.326e+07           2.205e+08            1.147e+04        1.493e+08       3.386e+04           5.964e+04           6.982e+04           3.056e+05        4.171e+07         2.040e+07         2.490e+06          9.388e+06           2.266e+07           3.211e+06             5.178e+06            2.402e+07 
   -1.0           0.1       100           0.38               100      2.796e+06        3.110e+07        4.354e+07           1.311e+08            1.131e+04        8.834e+07       3.338e+04           5.425e+04           4.188e+04           1.409e+05        1.530e+07         7.719e+06         8.921e+05          5.424e+06           1.306e+07           1.910e+06             3.048e+06            1.244e+07 
   -1.0           0.1       100           0.38               300      3.448e+06        5.217e+07        7.693e+07           2.316e+08            1.423e+04        1.487e+08       4.200e+04           9.599e+04           7.407e+04           3.053e+05        3.229e+07         1.614e+07         2.491e+06          1.030e+07           2.484e+07           2.743e+06             4.374e+06            1.955e+07 
   -1.0           0.1      1000           0.38               100      1.817e+06        3.137e+07        4.330e+07           1.303e+08            8.374e+03        8.880e+07       2.471e+04           3.457e+04           4.051e+04           1.411e+05        1.515e+07         7.638e+06         8.955e+05          5.283e+06           1.273e+07           2.282e+06             3.683e+06            1.181e+07 
