## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      2.786e+06        4.679e+06        1.588e+07           4.780e+07            6.625e+04        1.353e+07       1.955e+05           8.288e+04           6.410e+04           4.031e+05        7.024e+05         5.978e+05         5.863e+04          2.059e+05           4.354e+05           2.189e+05             3.672e+05            5.955e+06 
   -1.0           0.1       100           1.40               300      3.873e+06        8.189e+06        3.042e+07           9.155e+07            9.725e+04        2.364e+07       2.870e+05           1.608e+05           1.243e+05           6.752e+05        1.272e+06         9.847e+05         3.295e+05          4.221e+05           8.983e+05           3.245e+05             5.368e+05            1.077e+07 
   -1.0           0.1      1000           1.40               100      2.707e+06        4.689e+06        1.721e+07           5.180e+07            6.135e+04        1.344e+07       1.810e+05           5.465e+04           6.623e+04           3.974e+05        7.436e+05         6.197e+05         5.877e+04          2.412e+05           5.096e+05           3.612e+05             6.041e+05            6.836e+06 
   -1.0           0.1      1000           1.40               300      3.720e+06        8.217e+06        3.269e+07           9.840e+07            9.304e+04        2.353e+07       2.745e+05           1.059e+05           1.280e+05           6.770e+05        1.399e+06         1.048e+06         3.290e+05          4.867e+05           1.036e+06           5.867e+05             9.703e+05            1.214e+07 
   -1.0           0.1       100           1.00               100      2.806e+06        4.625e+06        1.599e+07           4.814e+07            6.662e+04        1.339e+07       1.966e+05           8.569e+04           6.627e+04           4.073e+05        6.142e+05         5.357e+05         5.948e+04          1.976e+05           4.157e+05           2.112e+05             3.552e+05            4.005e+06 
   -1.0           0.1       100           1.00               300      3.908e+06        8.096e+06        3.072e+07           9.248e+07            9.825e+04        2.340e+07       2.899e+05           1.667e+05           1.288e+05           6.779e+05        1.056e+06         8.508e+05         3.316e+05          4.078e+05           8.632e+05           3.144e+05             5.209e+05            7.222e+06 
   -1.0           0.1      1000           1.00               100      2.751e+06        4.631e+06        1.744e+07           5.249e+07            6.185e+04        1.329e+07       1.825e+05           5.662e+04           6.865e+04           4.015e+05        6.478e+05         5.546e+05         5.960e+04          2.344e+05           4.926e+05           3.527e+05             5.905e+05            4.647e+06 
   -1.0           0.1      1000           1.00               300      3.783e+06        8.117e+06        3.322e+07           1.000e+08            9.421e+04        2.326e+07       2.780e+05           1.101e+05           1.330e+05           6.800e+05        1.157e+06         9.038e+05         3.310e+05          4.760e+05           1.007e+06           5.757e+05             9.528e+05            8.226e+06 
   -1.0           0.1       100           0.72               100      2.826e+06        4.606e+06        1.609e+07           4.844e+07            6.708e+04        1.334e+07       1.979e+05           8.801e+04           6.807e+04           4.104e+05        5.409e+05         4.840e+05         6.032e+04          1.911e+05           4.004e+05           2.052e+05             3.457e+05            2.738e+06 
   -1.0           0.1       100           0.72               300      3.940e+06        8.063e+06        3.100e+07           9.332e+07            9.923e+04        2.332e+07       2.928e+05           1.716e+05           1.326e+05           6.799e+05        8.838e+05         7.440e+05         3.339e+05          3.971e+05           8.372e+05           3.071e+05             5.093e+05            4.940e+06 
   -1.0           0.1      1000           0.72               100      2.791e+06        4.609e+06        1.764e+07           5.309e+07            6.241e+04        1.323e+07       1.842e+05           5.827e+04           7.066e+04           4.046e+05        5.686e+05         5.008e+05         6.042e+04          2.291e+05           4.795e+05           3.459e+05             5.797e+05            3.208e+06 
   -1.0           0.1      1000           0.72               300      3.838e+06        8.078e+06        3.368e+07           1.014e+08            9.536e+04        2.317e+07       2.814e+05           1.135e+05           1.371e+05           6.822e+05        9.636e+05         7.878e+05         3.331e+05          4.678e+05           9.860e+05           5.672e+05             9.392e+05            5.672e+06 
   -1.0           0.1       100           0.52               100      2.817e+06        4.543e+06        1.602e+07           4.823e+07            6.675e+04        1.317e+07       1.970e+05           8.915e+04           6.895e+04           4.127e+05        4.776e+05         4.391e+05         6.084e+04          1.851e+05           3.867e+05           1.991e+05             3.359e+05            1.880e+06 
   -1.0           0.1       100           0.52               300      3.936e+06        7.955e+06        3.092e+07           9.308e+07            9.912e+04        2.303e+07       2.925e+05           1.741e+05           1.346e+05           6.812e+05        7.421e+05         6.548e+05         3.348e+05          3.862e+05           8.122e+05           2.988e+05             4.961e+05            3.394e+06 
   -1.0           0.1      1000           0.52               100      2.795e+06        4.544e+06        1.763e+07           5.306e+07            6.222e+04        1.305e+07       1.836e+05           5.911e+04           7.170e+04           4.069e+05        5.001e+05         4.541e+05         6.092e+04          2.236e+05           4.667e+05           3.378e+05             5.666e+05            2.219e+06 
   -1.0           0.1      1000           0.52               300      3.850e+06        7.967e+06        3.371e+07           1.015e+08            9.541e+04        2.286e+07       2.816e+05           1.153e+05           1.393e+05           6.837e+05        8.043e+05         6.914e+05         3.339e+05          4.584e+05           9.634e+05           5.557e+05             9.207e+05            3.921e+06 
   -1.0           0.1       100           0.38               100      2.818e+06        4.516e+06        1.602e+07           4.823e+07            6.673e+04        1.310e+07       1.969e+05           9.022e+04           6.977e+04           4.143e+05        4.270e+05         4.029e+05         6.133e+04          1.814e+05           3.782e+05           1.952e+05             3.298e+05            1.327e+06 
   -1.0           0.1       100           0.38               300      3.941e+06        7.909e+06        3.094e+07           9.313e+07            9.932e+04        2.290e+07       2.931e+05           1.764e+05           1.364e+05           6.821e+05        6.352e+05         5.862e+05         3.359e+05          3.789e+05           7.951e+05           2.933e+05             4.874e+05            2.392e+06 
   -1.0           0.1      1000           0.38               100      2.806e+06        4.515e+06        1.766e+07           5.317e+07            6.227e+04        1.297e+07       1.838e+05           5.988e+04           7.263e+04           4.085e+05        4.457e+05         4.167e+05         6.140e+04          2.199e+05           4.580e+05           3.325e+05             5.580e+05            1.571e+06 
   -1.0           0.1      1000           0.38               300      3.868e+06        7.918e+06        3.382e+07           1.018e+08            9.573e+04        2.273e+07       2.825e+05           1.170e+05           1.413e+05           6.848e+05        6.843e+05         6.177e+05         3.349e+05          4.522e+05           9.484e+05           5.484e+05             9.090e+05            2.777e+06 
   -1.0           0.1       100           0.27               100      2.832e+06        4.526e+06        1.608e+07           4.841e+07            6.711e+04        1.313e+07       1.981e+05           9.148e+04           7.074e+04           4.157e+05        3.820e+05         3.701e+05         6.189e+04          1.784e+05           3.714e+05           1.924e+05             3.254e+05            9.170e+05 
   -1.0           0.1       100           0.27               300      3.963e+06        7.925e+06        3.111e+07           9.365e+07            1.000e+05        2.296e+07       2.951e+05           1.791e+05           1.384e+05           6.830e+05        5.457e+05         5.274e+05         3.376e+05          3.744e+05           7.843e+05           2.906e+05             4.832e+05            1.657e+06 
   -1.0           0.1      1000           0.27               100      2.829e+06        4.523e+06        1.778e+07           5.352e+07            6.269e+04        1.300e+07       1.850e+05           6.078e+04           7.372e+04           4.098e+05        3.978e+05         3.832e+05         6.194e+04          2.177e+05           4.525e+05           3.295e+05             5.534e+05            1.092e+06 
   -1.0           0.1      1000           0.27               300      3.899e+06        7.931e+06        3.408e+07           1.026e+08            9.648e+04        2.277e+07       2.847e+05           1.189e+05           1.436e+05           6.857e+05        5.843e+05         5.549e+05         3.364e+05          4.487e+05           9.393e+05           5.447e+05             9.032e+05            1.930e+06 
   -1.0           0.1       100           0.20               100      2.823e+06        4.494e+06        1.601e+07           4.821e+07            6.684e+04        1.304e+07       1.972e+05           9.179e+04           7.098e+04           4.165e+05        3.486e+05         3.452e+05         6.211e+04          1.757e+05           3.653e+05           1.896e+05             3.209e+05            6.628e+05 
   -1.0           0.1       100           0.20               300      3.955e+06        7.870e+06        3.102e+07           9.337e+07            9.979e+04        2.281e+07       2.945e+05           1.799e+05           1.390e+05           6.834e+05        4.831e+05         4.848e+05         3.378e+05          3.698e+05           7.740e+05           2.869e+05             4.772e+05            1.199e+06 
   -1.0           0.1      1000           0.20               100      2.825e+06        4.490e+06        1.774e+07           5.339e+07            6.249e+04        1.291e+07       1.844e+05           6.103e+04           7.402e+04           4.106e+05        3.627e+05         3.579e+05         6.215e+04          2.152e+05           4.469e+05           3.256e+05             5.469e+05            7.917e+05 
   -1.0           0.1      1000           0.20               300      3.898e+06        7.875e+06        3.402e+07           1.024e+08            9.634e+04        2.261e+07       2.843e+05           1.194e+05           1.443e+05           6.862e+05        5.146e+05         5.099e+05         3.365e+05          4.443e+05           9.292e+05           5.392e+05             8.942e+05            1.401e+06 
   -1.0           0.1       100           0.14               100      2.831e+06        4.499e+06        1.604e+07           4.829e+07            6.705e+04        1.306e+07       1.979e+05           9.251e+04           7.154e+04           4.172e+05        3.168e+05         3.205e+05         6.245e+04          1.740e+05           3.615e+05           1.878e+05             3.181e+05            4.561e+05 
   -1.0           0.1       100           0.14               300      3.967e+06        7.879e+06        3.110e+07           9.362e+07            1.002e+05        2.284e+07       2.956e+05           1.814e+05           1.402e+05           6.839e+05        4.264e+05         4.449e+05         3.388e+05          3.672e+05           7.677e+05           2.849e+05             4.742e+05            8.265e+05 
   -1.0           0.1      1000           0.14               100      2.838e+06        4.495e+06        1.780e+07           5.358e+07            6.272e+04        1.293e+07       1.851e+05           6.155e+04           7.465e+04           4.114e+05        3.295e+05         3.331e+05         6.248e+04          2.139e+05           4.437e+05           3.238e+05             5.441e+05            5.466e+05 
   -1.0           0.1      1000           0.14               300      3.915e+06        7.883e+06        3.416e+07           1.028e+08            9.677e+04        2.264e+07       2.856e+05           1.205e+05           1.455e+05           6.867e+05        4.524e+05         4.682e+05         3.374e+05          4.422e+05           9.239e+05           5.370e+05             8.907e+05            9.678e+05 
   -1.0           0.1       100           0.10               100      2.819e+06        4.465e+06        1.598e+07           4.809e+07            6.670e+04        1.297e+07       1.968e+05           9.252e+04           7.154e+04           4.177e+05        2.919e+05         3.001e+05         6.252e+04          1.725e+05           3.582e+05           1.861e+05             3.154e+05            3.209e+05 
   -1.0           0.1       100           0.10               300      3.954e+06        7.821e+06        3.097e+07           9.321e+07            9.979e+04        2.267e+07       2.945e+05           1.815e+05           1.402e+05           6.840e+05        3.845e+05         4.139e+05         3.387e+05          3.638e+05           7.602e+05           2.823e+05             4.699e+05            5.812e+05 
