# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-1.0 0.5 1000.0 -1.2 4.2186e+42 9.8281e+41 7.4842e+42 2.2527e+43 2.2399e+42 1.2032e+42 2.8787e+42 3.5506e+42 1.1367e+42 9.7076e+41 7.538e+41 1.3238e+42 1.0014e+42 4.1554e+42 2.9917e+41 7.3001e+41 4.3678e+40 2.6883e+40 2.6905e+42 1.8045e+42
-1.0 0.5 100.0 -2.0 2.4231e+41 1.4641e+41 9.0877e+41 2.7354e+42 6.6645e+40 4.9368e+40 4.1632e+41 1.4569e+41 6.4304e+40 4.7023e+40 1.1801e+41 1.4591e+41 1.093e+41 6.7677e+41 2.0223e+40 4.9009e+40 2.9807e+39 1.7936e+39 1.6991e+41 1.1133e+41
-1.0 0.5 10000.0 -1.4 5.7775e+42 2.0487e+42 9.7102e+42 2.9228e+43 2.5177e+42 2.642e+42 5.9376e+42 7.7966e+42 1.2831e+42 1.9005e+42 1.3806e+40 1.2225e+41 7.2596e+40 3.5265e+42 6.9766e+40 1.7139e+41 5.2865e+40 4.696e+40 1.0648e+42 9.1398e+41
-1.0 0.5 10000.0 -1.7 3.91e+42 1.6034e+42 5.2253e+42 1.5728e+43 9.7782e+41 1.8088e+42 4.6571e+42 5.3378e+42 6.7205e+41 1.1103e+42 6.1227e+39 2.9734e+40 2.067e+40 1.9321e+42 1.9852e+40 4.8808e+40 2.0598e+40 1.8633e+40 3.7795e+41 3.2721e+41
-1.0 0.5 10000.0 -2.0 2.7175e+42 1.1918e+42 2.4372e+42 7.3361e+42 4.7753e+41 1.3499e+42 3.4738e+42 3.9835e+42 4.4506e+41 7.8226e+41 1.1761e+39 1.2939e+40 1.0675e+40 9.4748e+41 5.2446e+39 1.2906e+40 6.9898e+39 6.4269e+39 1.3106e+41 1.1404e+41
-2.5 0.1 100.0 -1.2 4.1544e+42 2.1758e+42 8.9999e+42 2.709e+43 4.2516e+41 6.6855e+41 6.5192e+42 1.9729e+42 6.0851e+41 4.6323e+41 3.6503e+41 1.0619e+42 5.5112e+41 5.0667e+42 3.9071e+40 9.4646e+40 6.1947e+40 3.7408e+40 8.1681e+41 5.3539e+41
-2.5 0.1 100.0 -1.4 2.6859e+42 1.8787e+42 5.7838e+42 1.7409e+43 1.8348e+41 4.5343e+41 5.6378e+42 1.3381e+42 4.3217e+41 3.3301e+41 1.8638e+41 4.839e+41 2.5801e+41 3.7573e+42 1.4003e+40 3.384e+40 2.569e+40 1.6216e+40 3.3386e+41 2.1891e+41
-2.5 0.1 100.0 -1.7 1.3551e+42 1.4167e+42 2.4607e+42 7.4066e+42 8.5766e+40 2.5695e+41 4.2916e+42 7.5826e+41 2.6716e+41 2.0671e+41 6.6171e+40 1.3848e+41 8.0523e+40 2.0929e+42 2.6658e+39 6.4227e+39 5.8381e+39 4.8954e+39 7.5393e+40 4.9532e+40
-2.5 0.1 100.0 -2.0 6.6349e+41 1.032e+42 9.0723e+41 2.7308e+42 4.2455e+40 1.3995e+41 3.1735e+42 4.1298e+41 1.5368e+41 1.1893e+41 3.0088e+40 4.2119e+40 3.1019e+40 1.0685e+42 5.4025e+38 1.296e+39 1.2914e+39 2.5677e+39 1.642e+40 1.0898e+40
-2.5 0.1 1000.0 -1.2 5.1881e+42 2.4359e+42 1.2883e+43 3.8777e+43 6.2836e+41 8.9581e+41 7.2228e+42 2.6435e+42 5.7568e+41 6.5191e+41 1.2448e+41 1.1515e+42 5.7356e+41 5.1733e+42 7.3006e+40 1.7695e+41 1.2657e+41 7.9406e+40 1.4221e+42 9.5943e+41
-2.5 0.1 1000.0 -1.4 3.608e+42 2.127e+42 9.1983e+42 2.7687e+43 2.7335e+41 6.326e+41 6.3042e+42 1.8668e+42 4.0006e+41 4.8247e+41 4.3445e+40 3.9907e+41 2.0384e+41 3.8168e+42 3.0721e+40 7.4259e+40 6.8312e+40 4.3689e+40 6.8413e+41 4.6224e+41
-2.5 0.1 1000.0 -1.7 2.0628e+42 1.6293e+42 4.8312e+42 1.4542e+43 1.2924e+41 3.9871e+41 4.8494e+42 1.1766e+42 2.5982e+41 3.2454e+41 2.232e+40 6.9685e+40 4.2413e+40 2.1005e+42 6.9511e+39 1.6789e+40 2.4884e+40 1.7235e+40 1.9439e+41 1.3168e+41
-2.5 0.1 1000.0 -2.0 1.1684e+42 1.1992e+42 2.3345e+42 7.0268e+42 6.9983e+40 2.543e+41 3.5943e+42 7.5044e+41 1.719e+41 2.1654e+41 1.5878e+40 2.4682e+40 1.966e+40 1.053e+42 1.4765e+39 3.5692e+39 8.6554e+39 7.4423e+39 5.116e+40 3.4792e+40
-2.5 0.1 10000.0 -1.2 6.7671e+42 2.9706e+42 1.5338e+43 4.6169e+43 1.9809e+42 2.2706e+42 8.7546e+42 6.7005e+42 6.3547e+41 1.1255e+42 1.4059e+40 1.9232e+41 1.0417e+41 4.8649e+42 6.8283e+40 1.6727e+41 2.7672e+41 2.5041e+41 1.4474e+42 1.2608e+42
-2.5 0.1 10000.0 -1.4 5.0168e+42 2.574e+42 1.1121e+43 3.3475e+43 9.8986e+41 1.7016e+42 7.5661e+42 5.0215e+42 4.3819e+41 8.1632e+41 1.2003e+40 7.4923e+40 4.4199e+40 3.5931e+42 3.2251e+40 7.9038e+40 1.6059e+41 1.4735e+41 7.5541e+41 6.6296e+41
-2.5 0.1 10000.0 -1.7 3.2439e+42 1.9304e+42 5.756e+42 1.7326e+43 4.4696e+41 1.2098e+42 5.6725e+42 3.5701e+42 2.8742e+41 5.6541e+41 5.8703e+39 2.1595e+40 1.6525e+40 1.9582e+42 8.6841e+39 2.1313e+40 5.613e+40 5.2747e+40 2.4371e+41 2.159e+41
-2.5 0.1 10000.0 -2.0 2.0871e+42 1.38e+42 2.5733e+42 7.7455e+42 2.526e+41 8.956e+41 4.0666e+42 2.6429e+42 2.1188e+41 4.2497e+41 1.1548e+39 1.2094e+40 1.0637e+40 9.5918e+41 2.1482e+39 5.2809e+39 1.6469e+40 1.5939e+40 7.4063e+40 6.6141e+40
-2.5 0.3 100.0 -1.2 5.9214e+42 1.4038e+42 7.8032e+42 2.3488e+43 1.448e+42 1.0113e+42 4.1472e+42 2.9843e+42 9.6384e+41 7.1097e+41 5.2722e+41 8.9731e+41 5.4456e+41 4.2693e+42 8.8002e+40 2.149e+41 6.4989e+40 3.8646e+40 1.3605e+42 8.915e+41
-2.5 0.3 100.0 -1.4 3.7762e+42 1.1748e+42 5.6174e+42 1.6908e+43 6.2745e+41 6.2944e+41 3.4639e+42 1.8575e+42 6.2958e+41 4.7131e+41 2.8938e+41 4.8649e+41 2.9623e+41 3.2238e+42 3.9248e+40 9.5699e+40 3.3405e+40 2.0006e+40 6.722e+41 4.4054e+41
