## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.1       100           1.40               100      4.041e+06        1.609e+07        3.812e+07           1.147e+08            3.217e+04        4.573e+07       9.494e+04           8.528e+04           6.589e+04           2.674e+05        1.059e+07         5.125e+06         3.707e+05          1.922e+06           4.412e+06           1.146e+06             1.843e+06            2.731e+07 
   -1.0           0.1       100           1.40               300      5.248e+06        2.649e+07        6.807e+07           2.049e+08            4.199e+04        7.535e+07       1.239e+05           1.533e+05           1.183e+05           5.369e+05        2.890e+07         1.369e+07         1.362e+06          3.778e+06           8.722e+06           1.713e+06             2.745e+06            3.878e+07 
   -1.0           0.1      1000           1.40               100      3.090e+06        1.627e+07        3.884e+07           1.169e+08            2.638e+04        4.601e+07       7.785e+04           5.504e+04           6.520e+04           2.667e+05        1.085e+07         5.247e+06         3.721e+05          1.959e+06           4.497e+06           1.500e+06             2.438e+06            2.756e+07 
   -1.0           0.1      1000           1.40               300      4.153e+06        2.680e+07        6.900e+07           2.077e+08            3.633e+04        7.588e+07       1.072e+05           9.915e+04           1.171e+05           5.378e+05        2.939e+07         1.391e+07         1.365e+06          3.821e+06           8.823e+06           2.147e+06             3.480e+06            3.870e+07 
   -1.0           0.1       100           1.00               100      4.163e+06        1.580e+07        4.005e+07           1.206e+08            3.241e+04        4.493e+07       9.565e+04           8.963e+04           6.924e+04           2.701e+05        8.073e+06         3.949e+06         3.715e+05          2.053e+06           4.695e+06           1.187e+06             1.908e+06            2.008e+07 
   -1.0           0.1       100           1.00               300      5.434e+06        2.604e+07        7.198e+07           2.167e+08            4.251e+04        7.407e+07       1.254e+05           1.614e+05           1.246e+05           5.392e+05        2.179e+07         1.036e+07         1.361e+06          4.092e+06           9.414e+06           1.794e+06             2.875e+06            2.888e+07 
   -1.0           0.1      1000           1.00               100      3.198e+06        1.597e+07        4.086e+07           1.230e+08            2.664e+04        4.519e+07       7.862e+04           5.791e+04           6.859e+04           2.693e+05        8.280e+06         4.043e+06         3.728e+05          2.097e+06           4.796e+06           1.565e+06             2.543e+06            2.031e+07 
   -1.0           0.1      1000           1.00               300      4.319e+06        2.634e+07        7.304e+07           2.199e+08            3.688e+04        7.460e+07       1.088e+05           1.045e+05           1.235e+05           5.401e+05        2.219e+07         1.054e+07         1.363e+06          4.147e+06           9.541e+06           2.260e+06             3.663e+06            2.887e+07 
   -1.0           0.1       100           0.72               100      4.301e+06        1.581e+07        4.208e+07           1.267e+08            3.298e+04        4.495e+07       9.733e+04           9.383e+04           7.248e+04           2.721e+05        6.216e+06         3.089e+06         3.740e+05          2.183e+06           4.977e+06           1.230e+06             1.977e+06            1.495e+07 
   -1.0           0.1       100           0.72               300      5.630e+06        2.604e+07        7.599e+07           2.287e+08            4.334e+04        7.410e+07       1.279e+05           1.692e+05           1.306e+05           5.413e+05        1.661e+07         7.970e+06         1.365e+06          4.403e+06           1.010e+07           1.877e+06             3.007e+06            2.173e+07 
   -1.0           0.1      1000           0.72               100      3.315e+06        1.598e+07        4.299e+07           1.294e+08            2.715e+04        4.521e+07       8.011e+04           6.068e+04           7.186e+04           2.713e+05        6.380e+06         3.163e+06         3.753e+05          2.235e+06           5.097e+06           1.633e+06             2.653e+06            1.515e+07 
   -1.0           0.1      1000           0.72               300      4.487e+06        2.635e+07        7.719e+07           2.323e+08            3.766e+04        7.462e+07       1.111e+05           1.096e+05           1.295e+05           5.424e+05        1.692e+07         8.110e+06         1.367e+06          4.471e+06           1.026e+07           2.375e+06             3.849e+06            2.176e+07 
   -1.0           0.1       100           0.52               100      4.407e+06        1.581e+07        4.369e+07           1.315e+08            3.342e+04        4.497e+07       9.863e+04           9.710e+04           7.501e+04           2.737e+05        4.729e+06         2.403e+06         3.760e+05          2.291e+06           5.211e+06           1.264e+06             2.031e+06            1.107e+07 
   -1.0           0.1       100           0.52               300      5.779e+06        2.605e+07        7.920e+07           2.384e+08            4.398e+04        7.412e+07       1.298e+05           1.752e+05           1.353e+05           5.431e+05        1.247e+07         6.077e+06         1.368e+06          4.666e+06           1.068e+07           1.943e+06             3.113e+06            1.624e+07 
   -1.0           0.1      1000           0.52               100      3.403e+06        1.598e+07        4.467e+07           1.345e+08            2.753e+04        4.522e+07       8.123e+04           6.283e+04           7.440e+04           2.728e+05        4.855e+06         2.461e+06         3.772e+05          2.350e+06           5.345e+06           1.687e+06             2.741e+06            1.124e+07 
   -1.0           0.1      1000           0.52               300      4.615e+06        2.635e+07        8.052e+07           2.424e+08            3.825e+04        7.463e+07       1.129e+05           1.136e+05           1.342e+05           5.441e+05        1.272e+07         6.187e+06         1.371e+06          4.745e+06           1.086e+07           2.469e+06             4.000e+06            1.628e+07 
   -1.0           0.1       100           0.38               100      4.415e+06        1.553e+07        4.420e+07           1.330e+08            3.319e+04        4.417e+07       9.794e+04           9.835e+04           7.597e+04           2.747e+05        3.519e+06         1.843e+06         3.750e+05          2.347e+06           5.331e+06           1.273e+06             2.047e+06            8.135e+06 
   -1.0           0.1       100           0.38               300      5.812e+06        2.560e+07        8.044e+07           2.421e+08            4.384e+04        7.287e+07       1.294e+05           1.778e+05           1.372e+05           5.439e+05        9.124e+06         4.544e+06         1.363e+06          4.819e+06           1.101e+07           1.972e+06             3.159e+06            1.202e+07 
   -1.0           0.1      1000           0.38               100      3.418e+06        1.570e+07        4.522e+07           1.361e+08            2.738e+04        4.442e+07       8.080e+04           6.367e+04           7.539e+04           2.738e+05        3.610e+06         1.885e+06         3.762e+05          2.409e+06           5.472e+06           1.706e+06             2.771e+06            8.262e+06 
   -1.0           0.1      1000           0.38               300      4.652e+06        2.590e+07        8.181e+07           2.463e+08            3.819e+04        7.337e+07       1.127e+05           1.153e+05           1.362e+05           5.450e+05        9.300e+06         4.624e+06         1.366e+06          4.902e+06           1.121e+07           2.510e+06             4.067e+06            1.206e+07 
   -1.0           0.1       100           0.27               100      4.476e+06        1.553e+07        4.520e+07           1.360e+08            3.344e+04        4.419e+07       9.869e+04           1.003e+05           7.750e+04           2.756e+05        2.619e+06         1.425e+06         3.761e+05          2.420e+06           5.488e+06           1.294e+06             2.080e+06            5.873e+06 
   -1.0           0.1       100           0.27               300      5.844e+06        2.493e+07        8.024e+07           2.415e+08            4.380e+04        7.095e+07       1.292e+05           1.770e+05           1.367e+05           5.164e+05        6.458e+06         3.311e+06         1.272e+06          4.874e+06           1.112e+07           1.946e+06             3.117e+06            8.508e+06 
   -1.0           0.1      1000           0.27               100      3.471e+06        1.570e+07        4.627e+07           1.393e+08            2.761e+04        4.442e+07       8.147e+04           6.499e+04           7.694e+04           2.747e+05        2.684e+06         1.456e+06         3.774e+05          2.486e+06           5.639e+06           1.740e+06             2.827e+06            5.970e+06 
   -1.0           0.1      1000           0.27               300      4.679e+06        2.522e+07        8.166e+07           2.458e+08            3.812e+04        7.144e+07       1.125e+05           1.149e+05           1.357e+05           5.173e+05        6.579e+06         3.367e+06         1.274e+06          4.962e+06           1.132e+07           2.503e+06             4.056e+06            8.543e+06 
   -1.0           0.1       100           0.20               100      4.515e+06        1.554e+07        4.586e+07           1.380e+08            3.360e+04        4.419e+07       9.916e+04           1.016e+05           7.850e+04           2.762e+05        2.031e+06         1.150e+06         3.769e+05          2.469e+06           5.594e+06           1.308e+06             2.103e+06            4.396e+06 
   -1.0           0.1       100           0.20               300      5.957e+06        2.561e+07        8.386e+07           2.524e+08            4.445e+04        7.289e+07       1.312e+05           1.839e+05           1.420e+05           5.457e+05        5.041e+06         2.667e+06         1.367e+06          5.128e+06           1.169e+07           2.046e+06             3.276e+06            6.566e+06 
   -1.0           0.1      1000           0.20               100      3.505e+06        1.570e+07        4.697e+07           1.414e+08            2.775e+04        4.443e+07       8.190e+04           6.586e+04           7.797e+04           2.752e+05        2.080e+06         1.175e+06         3.782e+05          2.539e+06           5.754e+06           1.764e+06             2.864e+06            4.472e+06 
   -1.0           0.1      1000           0.20               300      4.779e+06        2.591e+07        8.536e+07           2.569e+08            3.878e+04        7.338e+07       1.144e+05           1.194e+05           1.410e+05           5.469e+05        5.136e+06         2.712e+06         1.369e+06          5.225e+06           1.192e+07           2.613e+06             4.233e+06            6.595e+06 
   -1.0           0.1       100           0.14               100      4.550e+06        1.554e+07        4.645e+07           1.398e+08            3.374e+04        4.420e+07       9.958e+04           1.028e+05           7.939e+04           2.767e+05        1.520e+06         9.153e+05         3.776e+05          2.514e+06           5.691e+06           1.321e+06             2.123e+06            3.106e+06 
   -1.0           0.1       100           0.14               300      6.008e+06        2.561e+07        8.509e+07           2.561e+08            4.467e+04        7.290e+07       1.318e+05           1.861e+05           1.436e+05           5.464e+05        3.655e+06         2.025e+06         1.368e+06          5.244e+06           1.195e+07           2.072e+06             3.319e+06            4.658e+06 
   -1.0           0.1      1000           0.14               100      3.534e+06        1.570e+07        4.760e+07           1.433e+08            2.787e+04        4.443e+07       8.226e+04           6.662e+04           7.886e+04           2.757e+05        1.555e+06         9.335e+05         3.789e+05          2.587e+06           5.857e+06           1.784e+06             2.898e+06            3.162e+06 
   -1.0           0.1      1000           0.14               300      4.823e+06        2.591e+07        8.664e+07           2.608e+08            3.898e+04        7.339e+07       1.150e+05           1.208e+05           1.427e+05           5.475e+05        3.721e+06         2.057e+06         1.370e+06          5.346e+06           1.218e+07           2.650e+06             4.293e+06            4.680e+06 
   -1.0           0.1       100           0.10               100      4.573e+06        1.554e+07        4.686e+07           1.410e+08            3.384e+04        4.421e+07       9.987e+04           1.036e+05           8.000e+04           2.771e+05        1.179e+06         7.720e+05         3.781e+05          2.545e+06           5.759e+06           1.330e+06             2.137e+06            2.233e+06 
   -1.0           0.1       100           0.10               300      6.042e+06        2.561e+07        8.593e+07           2.587e+08            4.481e+04        7.290e+07       1.322e+05           1.875e+05           1.448e+05           5.468e+05        2.730e+06         1.623e+06         1.369e+06          5.325e+06           1.213e+07           2.091e+06             3.348e+06            3.358e+06 
   -1.0           0.1      1000           0.10               100      3.554e+06        1.570e+07        4.803e+07           1.446e+08            2.796e+04        4.444e+07       8.251e+04           6.713e+04           7.948e+04           2.761e+05        1.205e+06         7.862e+05         3.793e+05          2.620e+06           5.929e+06           1.799e+06             2.921e+06            2.274e+06 
   -1.0           0.1      1000           0.10               300      4.853e+06        2.591e+07        8.752e+07           2.634e+08            3.912e+04        7.339e+07       1.154e+05           1.218e+05           1.438e+05           5.480e+05        2.778e+06         1.646e+06         1.371e+06          5.431e+06           1.237e+07           2.676e+06             4.335e+06            3.375e+06 
   -1.0           0.3       100           1.40               100      1.735e+06        6.488e+06        1.596e+07           4.805e+07            1.481e+04        1.841e+07       4.370e+04           4.837e+04           3.735e+04           2.646e+05        3.101e+06         1.610e+06         2.703e+05          1.080e+06           2.546e+06           3.355e+05             5.403e+05            1.169e+07 
   -1.0           0.3       100           1.40               300      2.515e+06        1.118e+07        2.913e+07           8.769e+07            2.196e+04        3.180e+07       6.481e+04           8.986e+04           6.935e+04           5.201e+05        7.779e+06         3.793e+06         1.020e+06          2.121e+06           5.019e+06           5.227e+05             8.383e+05            1.697e+07 
   -1.0           0.3      1000           1.40               100      1.381e+06        6.581e+06        1.614e+07           4.859e+07            1.270e+04        1.859e+07       3.747e+04           3.130e+04           3.695e+04           2.639e+05        3.122e+06         1.619e+06         2.709e+05          1.077e+06           2.539e+06           4.212e+05             6.853e+05            1.158e+07 
   -1.0           0.3      1000           1.40               300      2.044e+06        1.134e+07        2.937e+07           8.841e+07            1.963e+04        3.213e+07       5.793e+04           5.827e+04           6.865e+04           5.210e+05        7.797e+06         3.801e+06         1.021e+06          2.106e+06           4.985e+06           6.285e+05             1.019e+06            1.670e+07 
   -1.0           0.3        10           1.00               100      1.882e+06        6.343e+06        1.683e+07           5.065e+07            1.568e+04        1.801e+07       4.627e+04           5.488e+04           3.916e+04           2.672e+05        2.401e+06         1.300e+06         2.696e+05          1.179e+06           2.771e+06           3.473e+05             5.587e+05            8.851e+06 
   -1.0           0.3       100           1.00               100      1.806e+06        6.417e+06        1.695e+07           5.103e+07            1.510e+04        1.822e+07       4.457e+04           5.124e+04           3.956e+04           2.674e+05        2.406e+06         1.303e+06         2.699e+05          1.174e+06           2.761e+06           3.458e+05             5.568e+05            8.808e+06 
   -1.0           0.3       100           1.00               300      2.625e+06        1.106e+07        3.107e+07           9.352e+07            2.246e+04        3.147e+07       6.626e+04           9.530e+04           7.354e+04           5.234e+05        5.920e+06         2.967e+06         1.018e+06          2.329e+06           5.499e+06           5.422e+05             8.695e+05            1.289e+07 
   -1.0           0.3      1000           1.00               100      1.443e+06        6.508e+06        1.716e+07           5.164e+07            1.297e+04        1.839e+07       3.828e+04           3.318e+04           3.916e+04           2.667e+05        2.422e+06         1.309e+06         2.705e+05          1.172e+06           2.756e+06           4.369e+05             7.108e+05            8.735e+06 
   -1.0           0.3      1000           1.00               300      2.140e+06        1.122e+07        3.134e+07           9.433e+07            2.011e+04        3.179e+07       5.933e+04           6.183e+04           7.283e+04           5.243e+05        5.937e+06         2.974e+06         1.019e+06          2.315e+06           5.466e+06           6.552e+05             1.063e+06            1.270e+07 
   -1.0           0.3     10000           1.00               100      6.942e+05        6.546e+06        1.713e+07           5.157e+07            1.105e+04        1.842e+07       3.262e+04           9.413e+03           1.873e+04           2.643e+05        2.494e+06         1.341e+06         2.713e+05          1.183e+06           2.783e+06           4.142e+05             7.560e+05            8.639e+06 
   -1.0           0.3       100           0.72               100      1.855e+06        6.347e+06        1.770e+07           5.329e+07            1.529e+04        1.802e+07       4.511e+04           5.338e+04           4.122e+04           2.696e+05        1.867e+06         1.072e+06         2.694e+05          1.252e+06           2.938e+06           3.526e+05             5.678e+05            6.597e+06 
   -1.0           0.3       100           0.72               300      2.704e+06        1.094e+07        3.256e+07           9.800e+07            2.279e+04        3.113e+07       6.724e+04           9.939e+04           7.670e+04           5.258e+05        4.477e+06         2.340e+06         1.015e+06          2.505e+06           5.904e+06           5.560e+05             8.917e+05            9.725e+06 
   -1.0           0.3      1000           0.72               100      1.486e+06        6.437e+06        1.792e+07           5.395e+07            1.315e+04        1.819e+07       3.881e+04           3.458e+04           4.082e+04           2.687e+05        1.879e+06         1.077e+06         2.700e+05          1.251e+06           2.935e+06           4.478e+05             7.284e+05            6.546e+06 
   -1.0           0.3      1000           0.72               300      2.208e+06        1.110e+07        3.286e+07           9.890e+07            2.043e+04        3.145e+07       6.028e+04           6.452e+04           7.599e+04           5.267e+05        4.491e+06         2.344e+06         1.016e+06          2.491e+06           5.872e+06           6.744e+05             1.094e+06            9.581e+06 
   -1.0           0.3       100           0.52               100      1.887e+06        6.279e+06        1.826e+07           5.495e+07            1.539e+04        1.783e+07       4.541e+04           5.495e+04           4.242e+04           2.711e+05        1.459e+06         9.154e+05         2.688e+05          1.315e+06           3.081e+06           3.569e+05             5.747e+05            4.904e+06 
   -1.0           0.3       100           0.52               300      2.757e+06        1.082e+07        3.368e+07           1.014e+08            2.299e+04        3.081e+07       6.783e+04           1.024e+05           7.901e+04           5.277e+05        3.381e+06         1.897e+06         1.012e+06          2.650e+06           6.239e+06           5.656e+05             9.069e+05            7.274e+06 
   -1.0           0.3      1000           0.52               100      1.516e+06        6.367e+06        1.849e+07           5.565e+07            1.326e+04        1.799e+07       3.912e+04           3.561e+04           4.203e+04           2.703e+05        1.468e+06         9.169e+05         2.693e+05          1.314e+06           3.079e+06           4.552e+05             7.403e+05            4.869e+06 
   -1.0           0.3      1000           0.52               300      2.256e+06        1.098e+07        3.399e+07           1.023e+08            2.063e+04        3.112e+07       6.088e+04           6.649e+04           7.831e+04           5.286e+05        3.392e+06         1.897e+06         1.012e+06          2.637e+06           6.207e+06           6.881e+05             1.116e+06            7.167e+06 
